h3_id,dt,pred
8a118186224ffff,2021-08-01,4954.062
8a1181863407fff,2021-08-01,4473.2876
8a1181863587fff,2021-08-01,4527.917
8a11818635a7fff,2021-08-01,4513.8857
8a11818635affff,2021-08-01,4657.028
8a1181868807fff,2021-08-01,5716.664
8a1181868817fff,2021-08-01,5493.68
8a1181868827fff,2021-07-01,5485.599
8a1181868827fff,2021-07-01,5541.234
8a1181868837fff,2021-08-01,6019.37
8a118186891ffff,2021-08-01,5563.039
8a1181868b07fff,2021-02-01,5556.25
8a1181868cc7fff,2021-02-01,5320.448
8a11818690a7fff,2021-08-01,4368.8125
8a11818690affff,2021-08-01,4321.525
8a11818690f7fff,2021-08-01,4716.345
8a11818692affff,2021-08-01,4489.6665
8a11818692b7fff,2021-08-01,4454.0586
8a11818692cffff,2021-08-01,4105.619
8a118186939ffff,2021-08-01,4324.503
8a1181869727fff,2021-02-01,5573.0596
8a1181869747fff,2021-08-01,4384.0063
8a118186974ffff,2021-08-01,4371.818
8a1181869767fff,2021-08-01,4410.5923
8a118186976ffff,2021-08-01,4416.3154
8a118186dd17fff,2021-08-01,4677.5684
8a11819050c7fff,2021-02-01,5709.9146
8a11819050cffff,2021-08-01,4838.022
8a11819050dffff,2021-08-01,4852.611
8a1181905767fff,2021-08-01,4180.42
8a118190a9a7fff,2021-08-01,4140.9443
8a118190a9affff,2021-08-01,4988.923
8a118190c157fff,2021-08-01,4396.2646
8a118190c177fff,2021-08-01,4394.326
8a118194041ffff,2021-02-01,6241.324
8a118194041ffff,2021-02-01,5815.3228
8a11819404effff,2021-08-01,4895.8257
8a11819406b7fff,2021-08-01,4931.8765
8a1181940787fff,2021-08-01,5188.91
8a118194079ffff,2021-08-01,4526.06
8a11819407a7fff,2021-08-01,4446.9883
8a118194126ffff,2021-08-01,4427.3823
8a118194220ffff,2021-08-01,5238.721
8a1181942247fff,2021-08-01,5764.706
8a1181942267fff,2021-08-01,5716.5215
8a118194226ffff,2021-08-01,5503.8
8a1181942277fff,2021-08-01,5246.3066
8a1181943507fff,2021-02-01,5436.1436
8a1181943517fff,2021-08-01,5503.376
8a1181943537fff,2021-08-01,5583.6772
8a118194c54ffff,2021-02-01,5690.8267
8a118194ca2ffff,2021-08-01,5488.8994
8a118194cc97fff,2021-08-01,4404.1724
8a1181951217fff,2021-08-01,4464.5586
8a11819512a7fff,2021-08-01,4503.0273
8a1181954b1ffff,2021-08-01,5704.543
8a1181954ba7fff,2021-08-01,4664.1973
8a1181954baffff,2021-08-01,4740.7856
8a11819554f7fff,2021-02-01,5601.2812
8a118195c647fff,2021-08-01,4698.5347
8a118195c677fff,2021-02-01,5435.739
8a118195c75ffff,2021-08-01,4324.368
8a118195c76ffff,2021-02-01,5705.7476
8a1181b04a0ffff,2021-08-01,4459.1797
8a1181b04a27fff,2021-08-01,4685.7397
8a1181b05347fff,2021-08-01,5671.283
8a1181b0536ffff,2021-08-01,5923.1943
8a1181b05537fff,2021-08-01,4850.007
8a1181b05c9ffff,2021-08-01,4838.1543
8a1181b05d97fff,2021-02-01,5684.3833
8a1181b0db07fff,2021-08-01,4671.0747
8a1181b21247fff,2021-08-01,5002.4854
8a1181b2125ffff,2021-02-01,5513.188
8a1181b2804ffff,2021-08-01,4747.533
8a1181b28147fff,2021-08-01,5590.9126
8a1181b2814ffff,2021-08-01,5108.881
8a1181b2816ffff,2021-08-01,4889.1567
8a1181b281affff,2021-02-01,5463.3735
8a1181b2820ffff,2021-08-01,5344.4116
8a1181b28247fff,2021-08-01,5901.918
8a1181b2824ffff,2021-08-01,6007.533
8a1181b28257fff,2021-08-01,6020.753
8a1181b2825ffff,2021-08-01,5811.651
8a1181b28277fff,2021-08-01,5897.49
8a1181b282affff,2021-08-01,5151.2617
8a1181b282c7fff,2021-08-01,5496.108
8a1181b282e7fff,2021-04-01,5625.924
8a1181b282e7fff,2021-04-01,5562.717
8a1181b282effff,2021-08-01,6091.016
8a1181b282f7fff,2021-08-01,4913.4077
8a1181b28607fff,2021-08-01,5309.5244
8a1181b28627fff,2021-08-01,5395.3643
8a1181b2862ffff,2021-08-01,5376.1533
8a1181b2870ffff,2021-08-01,5290.288
8a1181b2871ffff,2021-08-01,5315.2764
8a1181b2875ffff,2021-08-01,5396.778
8a1181b2884ffff,2021-08-01,5473.204
8a1181b28ab7fff,2021-08-01,5397.1445
8a1181b28b17fff,2021-08-01,5475.6997
8a1181b28b37fff,2021-08-01,5455.592
8a1181b28b87fff,2021-08-01,5675.101
8a1181b28ba7fff,2021-08-01,5458.561
8a1181b28baffff,2021-08-01,5554.5137
8a1181b2901ffff,2021-08-01,5369.2676
8a1181b29087fff,2021-08-01,5887.264
8a1181b2909ffff,2021-08-01,5955.6562
8a1181b290a7fff,2021-08-01,6072.703
8a1181b290b7fff,2021-08-01,5995.718
8a1181b29407fff,2021-08-01,5940.4463
8a1181b2940ffff,2021-08-01,6034.4307
8a1181b29427fff,2021-08-01,5584.2847
8a1181b29437fff,2021-08-01,5043.326
8a1181b29447fff,2021-08-01,6332.4355
8a1181b29457fff,2021-08-01,5691.988
8a1181b29477fff,2021-08-01,5281.822
8a1181b29497fff,2021-02-01,5336.261
8a1181b2949ffff,2021-08-01,5854.7153
8a1181b294b7fff,2021-08-01,4252.082
8a1181b294c7fff,2021-08-01,5413.4507
8a1181b294dffff,2021-08-01,5931.999
8a1181b294f7fff,2021-08-01,4913.2876
8a1181b2950ffff,2021-08-01,5535.6987
8a1181b29517fff,2021-08-01,5976.0513
8a1181b2952ffff,2021-08-01,5407.3486
8a1181b29547fff,2021-08-01,6166.0864
8a1181b2954ffff,2021-08-01,5762.3813
8a1181b29557fff,2021-08-01,6032.3525
8a1181b2955ffff,2021-08-01,5760.3154
8a1181b29567fff,2021-08-01,6126.632
8a1181b2956ffff,2021-08-01,5987.8516
8a1181b29577fff,2021-08-01,6072.438
8a1181b29587fff,2021-08-01,5800.51
8a1181b2958ffff,2021-08-01,4779.777
8a1181b29627fff,2021-08-01,6233.919
8a1181b29637fff,2021-08-01,5681.1367
8a1181b29697fff,2021-03-01,5624.1196
8a1181b29707fff,2021-08-01,5546.9585
8a1181b2970ffff,2021-08-01,6165.67
8a1181b2971ffff,2021-08-01,5716.123
8a1181b29747fff,2021-08-01,6254.572
8a1181b2974ffff,2021-08-01,6298.5215
8a1181b29757fff,2021-08-01,6359.0864
8a1181b2975ffff,2021-08-01,6322.0234
8a1181b2978ffff,2021-02-01,5545.9976
8a1181b297a7fff,2021-08-01,5428.5776
8a1181b297b7fff,2021-08-01,5104.6157
8a1181b29ccffff,2021-03-01,5536.8364
8a1181b2a087fff,2021-08-01,5458.0195
8a1181b2a1b7fff,2021-08-01,4976.8022
8a1181b2a367fff,2021-08-01,5476.91
8a1181b2a887fff,2021-08-01,4818.2593
8a1181b2a8a7fff,2021-08-01,4822.576
8a1181b2a8b7fff,2021-08-01,4848.9688
8a1181b2a987fff,2021-08-01,5005.526
8a1181b2a9a7fff,2021-08-01,4585.7544
8a1181b2a9affff,2021-02-01,5496.27
8a1181b2aa0ffff,2021-08-01,5360.6494
8a1181b2aa8ffff,2021-02-01,5060.921
8a1181b2aad7fff,2021-08-01,4174.7534
8a1181b2aaf7fff,2021-08-01,4402.8745
8a1181b2ab5ffff,2021-02-01,5548.9355
8a1181b2ac27fff,2021-08-01,6354.5884
8a1181b2ac2ffff,2021-08-01,6414.027
8a1181b2ac37fff,2021-08-01,6306.2197
8a1181b2ac57fff,2021-08-01,5396.414
8a1181b2ac77fff,2021-08-01,6411.8687
8a1181b2ad0ffff,2021-08-01,6007.827
8a1181b2ad2ffff,2021-08-01,5956.369
8a1181b2ad47fff,2021-08-01,6177.167
8a1181b2ad4ffff,2021-03-01,5539.862
8a1181b2ad57fff,2021-08-01,6103.254
8a1181b2ad8ffff,2021-08-01,5766.2573
8a1181b2ad9ffff,2021-08-01,5989.572
8a1181b2b007fff,2021-08-01,4490.473
8a1181b2b00ffff,2021-08-01,4451.4844
8a1181b2b017fff,2021-08-01,4293.5864
8a1181b2b01ffff,2021-08-01,4162.584
8a1181b2b08ffff,2021-08-01,4396.1895
8a1181b2b177fff,2021-08-01,4741.299
8a1181b2b1a7fff,2021-08-01,4162.811
8a1181b2b1affff,2021-08-01,5254.472
8a1181b2b24ffff,2021-08-01,5587.814
8a1181b2b257fff,2021-08-01,5393.6196
8a1181b2b25ffff,2021-08-01,5422.407
8a1181b2b277fff,2021-08-01,5272.337
8a1181b2b2cffff,2021-08-01,4706.03
8a1181b2b2e7fff,2021-08-01,4882.5767
8a1181b2b2effff,2021-08-01,4987.651
8a1181b2b347fff,2021-06-01,5530.01
8a1181b2b34ffff,2021-08-01,5685.7837
8a1181b2b35ffff,2021-08-01,5381.4844
8a1181b2b36ffff,2021-08-01,5645.0874
8a1181b2b80ffff,2021-08-01,5880.732
8a1181b2b81ffff,2021-02-01,5631.8477
8a1181b2b847fff,2021-08-01,5967.8545
8a1181b2b857fff,2021-08-01,5815.302
8a1181b2b85ffff,2021-08-01,5989.441
8a1181b2b867fff,2021-08-01,5871.4155
8a1181b2b877fff,2021-08-01,5739.5938
8a1181b2b8e7fff,2021-08-01,5924.537
8a1181b2b8f7fff,2021-08-01,5713.0386
8a1181b2b947fff,2021-08-01,5174.0566
8a1181b2b94ffff,2021-02-01,5528.699
8a1181b2b95ffff,2021-08-01,5758.089
8a1181b2ba27fff,2021-08-01,6257.8687
8a1181b2ba2ffff,2021-08-01,5675.1816
8a1181b2ba37fff,2021-08-01,6215.56
8a1181b2ba47fff,2021-06-01,5620.4805
8a1181b2ba47fff,2021-06-01,5623.24
8a1181b2ba57fff,2021-08-01,5979.246
8a1181b2ba5ffff,2021-08-01,5526.7236
8a1181b2ba67fff,2021-08-01,5384.858
8a1181b2ba77fff,2021-08-01,5568.777
8a1181b2baaffff,2021-08-01,5556.928
8a1181b2bac7fff,2021-08-01,5833.3066
8a1181b2bad7fff,2021-07-01,5505.5664
8a1181b2bad7fff,2021-07-01,5569.489
8a1181b2badffff,2021-08-01,5534.51
8a1181b2baeffff,2021-08-01,5941.383
8a1181b2baf7fff,2021-08-01,5640.8657
8a1181b2bb07fff,2021-08-01,5732.5034
8a1181b2bb17fff,2021-08-01,5903.833
8a1181b2bb1ffff,2021-08-01,6246.767
8a1181b2bb27fff,2021-08-01,5217.5166
8a1181b2bb2ffff,2021-08-01,5803.1846
8a1181b2bb57fff,2021-02-01,5508.082
8a1181b2bb77fff,2021-08-01,6005.76
8a1181b2bb87fff,2021-08-01,5216.6665
8a1181b2bb8ffff,2021-08-01,5392.2207
8a1181b2bbaffff,2021-06-01,5625.348
8a1181b2bbb7fff,2021-08-01,6087.6445
8a1181b2bc17fff,2021-08-01,5099.2104
8a1181b2bc47fff,2021-08-01,4396.2344
8a1181b2bc4ffff,2021-08-01,4423.24
8a1181b2bc5ffff,2021-08-01,4112.132
8a1181b2bc67fff,2021-08-01,4457.3735
8a1181b2bc77fff,2021-08-01,4476.2217
8a1181b2bd5ffff,2021-08-01,4663.174
8a1181b2bd97fff,2021-08-01,5899.136
8a1181b2c237fff,2021-08-01,4707.8115
8a1181b2c38ffff,2021-08-01,5634.488
8a1181b2c517fff,2021-08-01,4816.211
8a1181b2c51ffff,2021-08-01,5257.2695
8a1181b2c567fff,2021-06-01,5614.4824
8a1181b2c567fff,2021-06-01,5654.74
8a1181b2c5a7fff,2021-08-01,4967.944
8a1181b2c5affff,2021-08-01,4820.8228
8a1181b2d0d7fff,2021-08-01,4446.501
8a1181b2d0dffff,2021-08-01,4599.0405
8a1181b2d867fff,2021-08-01,5969.1807
8a1181b2d86ffff,2021-08-01,6331.8
8a1181b2d94ffff,2021-08-01,5877.4985
8a1181b2d96ffff,2021-08-01,6136.0684
8a1181b2e647fff,2021-08-01,4660.012
8a1181b2e6d7fff,2021-08-01,5096.371
8a1181b2e6dffff,2021-08-01,5989.3335
8a1181b2e6f7fff,2021-08-01,4536.606
8a1181b34587fff,2021-08-01,5585.182
8a1181b34597fff,2021-08-01,4100.74
8a1181b3459ffff,2021-08-01,4169.331
8a1181b3696ffff,2021-08-01,4264.5684
8a1181b41987fff,2021-08-01,5208.6143
8a1181b419a7fff,2021-08-01,4255.5024
8a1181b419b7fff,2021-08-01,5407.999
8a1181b41a47fff,2021-04-01,5611.785
8a1181b41a47fff,2021-04-01,5642.817
8a1181b41a4ffff,2021-08-01,4519.678
8a1181b41adffff,2021-08-01,5042.2363
8a1181b4430ffff,2021-08-01,6288.0186
8a1181b44347fff,2021-08-01,5537.352
8a1181b44357fff,2021-08-01,6270.26
8a1181b44a47fff,2021-08-01,5673.137
8a1181b44b4ffff,2021-08-01,5865.1475
8a1181b44b57fff,2021-02-01,5562.3267
8a1181b45027fff,2021-08-01,5827.486
8a1181b4502ffff,2021-02-01,5593.439
8a1181b45097fff,2021-08-01,5086.2397
8a1181b4509ffff,2021-08-01,5489.871
8a1181b450b7fff,2021-08-01,5448.868
8a1181b450cffff,2021-08-01,5494.7544
8a1181b450e7fff,2021-08-01,5214.394
8a1181b450effff,2021-08-01,4844.6035
8a1181b450f7fff,2021-08-01,5390.0205
8a1181b45117fff,2021-08-01,5903.171
8a1181b4511ffff,2021-08-01,5840.241
8a1181b45187fff,2021-08-01,6022.092
8a1181b4519ffff,2021-08-01,5514.447
8a1181b451a7fff,2021-08-01,6196.845
8a1181b451affff,2021-08-01,5796.7305
8a1181b4539ffff,2021-08-01,4713.3384
8a1181b4552ffff,2021-08-01,5025.0
8a1181b45547fff,2021-08-01,5675.244
8a1181b4554ffff,2021-07-01,5355.228
8a1181b4554ffff,2021-07-01,5630.389
8a1181b45577fff,2021-08-01,5010.9663
8a1181b456e7fff,2021-08-01,5370.5537
8a1181b456effff,2021-08-01,5425.829
8a1181b45717fff,2021-08-01,4650.503
8a1181b4572ffff,2021-08-01,5324.796
8a1181b45777fff,2021-08-01,4492.5005
8a1181b45807fff,2021-06-01,5995.3145
8a1181b45817fff,2021-08-01,5459.9663
8a1181b45837fff,2021-08-01,5844.341
8a1181b45887fff,2021-08-01,5241.5664
8a1181b45897fff,2021-08-01,5133.057
8a1181b45917fff,2021-08-01,5682.8345
8a1181b4592ffff,2021-08-01,5808.1826
8a1181b45947fff,2021-08-01,5379.454
8a1181b4594ffff,2021-03-01,5608.7583
8a1181b4594ffff,2021-03-01,5293.9062
8a1181b45957fff,2021-08-01,5824.9946
8a1181b45967fff,2021-08-01,5559.9653
8a1181b4596ffff,2021-08-01,5297.1855
8a1181b4598ffff,2021-08-01,5623.7065
8a1181b459affff,2021-08-01,5534.9766
8a1181b45c07fff,2021-08-01,6204.9272
8a1181b45c0ffff,2021-08-01,5509.668
8a1181b45c17fff,2021-08-01,5633.471
8a1181b45c1ffff,2021-08-01,5631.6973
8a1181b45c2ffff,2021-08-01,5811.2163
8a1181b45c4ffff,2021-08-01,6114.9424
8a1181b45c5ffff,2021-08-01,6077.3237
8a1181b45c77fff,2021-08-01,5867.3657
8a1181b45c87fff,2021-02-01,5357.89
8a1181b45c87fff,2021-02-01,5597.86
8a1181b45ca7fff,2021-08-01,5510.9478
8a1181b45cc7fff,2021-08-01,5322.647
8a1181b45ccffff,2021-08-01,5711.0283
8a1181b45cdffff,2021-08-01,5295.571
8a1181b45ceffff,2021-08-01,5394.3535
8a1181b45d07fff,2021-08-01,6052.879
8a1181b45d0ffff,2021-08-01,5938.957
8a1181b45d17fff,2021-08-01,5662.4854
8a1181b45d1ffff,2021-08-01,6084.6475
8a1181b45d37fff,2021-08-01,5659.7104
8a1181b45d57fff,2021-08-01,5919.361
8a1181b45d67fff,2021-08-01,6184.185
8a1181b45d6ffff,2021-08-01,6106.9917
8a1181b45d77fff,2021-08-01,6190.123
8a1181b45d97fff,2021-08-01,5188.011
8a1181b45d9ffff,2021-08-01,5241.632
8a1181b4992ffff,2021-08-01,5180.8765
8a1181b49977fff,2021-08-01,5185.4355
8a1181b49b27fff,2021-02-01,5446.3433
8a1181b49b47fff,2021-08-01,5724.996
8a1181b4c12ffff,2021-08-01,5531.0635
8a1181b4c177fff,2021-08-01,5585.6787
8a1181b4c30ffff,2021-08-01,5766.353
8a1181b4c327fff,2021-08-01,5308.6787
8a1181b4c32ffff,2021-08-01,5821.878
8a1181b4c337fff,2021-08-01,5349.205
8a1181b4c347fff,2021-08-01,5830.0894
8a1181b4c34ffff,2021-08-01,5459.394
8a1181b4c35ffff,2021-08-01,5877.764
8a1181b4c377fff,2021-02-01,5642.832
8a1181b4c377fff,2021-02-01,5585.2124
8a1181b4c80ffff,2021-08-01,5942.3237
8a1181b4c817fff,2021-08-01,5713.067
8a1181b4c837fff,2021-08-01,5392.0903
8a1181b4c867fff,2021-08-01,5749.449
8a1181b4c877fff,2021-08-01,5806.7
8a1181b4c8c7fff,2021-08-01,6178.2793
8a1181b4c8cffff,2021-08-01,5922.475
8a1181b4c8dffff,2021-08-01,5917.9697
8a1181b4c8e7fff,2021-08-01,5594.146
8a1181b4c8effff,2021-08-01,5685.9463
8a1181b4c917fff,2021-08-01,5913.1177
8a1181b4c927fff,2021-08-01,5993.792
8a1181b4c92ffff,2021-03-01,5711.4146
8a1181b4c92ffff,2021-03-01,5811.4487
8a1181b4c937fff,2021-08-01,6011.1055
8a1181b4c94ffff,2021-08-01,5902.404
8a1181b4c95ffff,2021-08-01,5831.0103
8a1181b4c96ffff,2021-02-01,5345.2705
8a1181b4c96ffff,2021-02-01,5077.8193
8a1181b4c98ffff,2021-08-01,5331.5015
8a1181b4c9a7fff,2021-08-01,5540.111
8a1181b4c9affff,2021-08-01,5435.841
8a1181b4c9b7fff,2021-08-01,5705.322
8a1181b4ca1ffff,2021-08-01,5755.689
8a1181b4ca37fff,2021-08-01,5553.99
8a1181b4ca4ffff,2021-08-01,5562.8784
8a1181b4ca57fff,2021-08-01,5568.014
8a1181b4ca67fff,2021-08-01,5730.4434
8a1181b4ca77fff,2021-08-01,5718.944
8a1181b4ca97fff,2021-08-01,5588.336
8a1181b4cab7fff,2021-08-01,5892.7515
8a1181b4cb0ffff,2021-08-01,5903.661
8a1181b4cb2ffff,2021-08-01,5887.624
8a1181b4cb5ffff,2021-08-01,5814.0493
8a1181b4cb77fff,2021-08-01,6073.8135
8a1181b4cb87fff,2021-08-01,5922.1753
8a1181b4cb97fff,2021-08-01,5878.5625
8a1181b4cb9ffff,2021-08-01,5958.566
8a1181b4cbb7fff,2021-08-01,6095.817
8a1181b4ccc7fff,2021-08-01,5205.188
8a1181b4cccffff,2021-08-01,5325.894
8a1181b4ccf7fff,2021-08-01,5564.123
8a1181b4cd47fff,2021-08-01,4944.425
8a1181b4cd4ffff,2021-08-01,4914.1543
8a1181b4cd5ffff,2021-08-01,4980.1704
8a1181b4d107fff,2021-08-01,5181.8247
8a1181b4d187fff,2021-08-01,4996.7188
8a1181b4d18ffff,2021-08-01,4988.7666
8a1181b4d1affff,2021-08-01,5012.711
8a1181b4d28ffff,2021-08-01,5761.599
8a1181b4d2c7fff,2021-06-01,5232.1465
8a1181b4d2d7fff,2021-07-01,5179.5425
8a1181b4d2dffff,2021-08-01,5175.8696
8a1181b4d2f7fff,2021-08-01,5163.5186
8a1181b4d66ffff,2021-08-01,5045.061
8a1181b4d84ffff,2021-08-01,4959.464
8a1181b4d85ffff,2021-08-01,4932.471
8a1181b4d88ffff,2021-08-01,5917.392
8a1181b4d8affff,2021-08-01,5826.265
8a1181b4d8b7fff,2021-08-01,6131.373
8a1181b4d8effff,2021-04-01,5624.606
8a1181b4d8effff,2021-04-01,5644.2334
8a1181b4d8f7fff,2021-08-01,5100.8955
8a1181b4d907fff,2021-08-01,5739.855
8a1181b4d91ffff,2021-08-01,5957.0225
8a1181b4d947fff,2021-08-01,4838.3335
8a1181b4d987fff,2021-08-01,5873.554
8a1181b4d98ffff,2021-08-01,6080.0684
8a1181b4d99ffff,2021-08-01,5832.3945
8a1181b4d9b7fff,2021-08-01,6020.174
8a1181b4db17fff,2021-08-01,4978.8667
8a1181b4db6ffff,2021-08-01,5628.1094
8a1181b4dba7fff,2021-08-01,4879.7266
8a1181b4dc0ffff,2021-08-01,5826.4097
8a1181b4dc67fff,2021-08-01,5917.9224
8a1181b4dc6ffff,2021-08-01,5733.459
8a1181b4dc97fff,2021-08-01,5741.174
8a1181b4dd27fff,2021-08-01,5878.161
8a1181b4dd2ffff,2021-08-01,5593.6514
8a1181b4dd47fff,2021-08-01,5669.962
8a1181b4dd67fff,2021-08-01,6638.295
8a1181b60027fff,2021-08-01,5622.4917
8a1181b60037fff,2021-04-01,5594.1084
8a1181b60037fff,2021-04-01,5602.8433
8a1181b6004ffff,2021-08-01,4708.011
8a1181b60107fff,2021-08-01,5589.7905
8a1181b6010ffff,2021-08-01,5628.7505
8a1181b6011ffff,2021-08-01,5562.3906
8a1181b60147fff,2021-08-01,5711.5483
8a1181b6016ffff,2021-08-01,5996.526
8a1181b60177fff,2021-08-01,5715.937
8a1181b6028ffff,2021-08-01,5218.928
8a1181b602b7fff,2021-08-01,5736.549
8a1181b602d7fff,2021-08-01,5157.01
8a1181b602dffff,2021-08-01,5125.7974
8a1181b602e7fff,2021-08-01,5122.753
8a1181b60317fff,2021-07-01,5681.1323
8a1181b60357fff,2021-08-01,4497.131
8a1181b60387fff,2021-08-01,5705.9824
8a1181b6038ffff,2021-08-01,5725.464
8a1181b6039ffff,2021-08-01,5730.439
8a1181b6064ffff,2021-03-01,5266.919
8a1181b606a7fff,2021-08-01,4603.886
8a1181b606affff,2021-08-01,4834.8477
8a1181b606b7fff,2021-08-01,4585.13
8a1181b6079ffff,2021-08-01,4582.956
8a1181b60837fff,2021-08-01,5450.8022
8a1181b60847fff,2021-08-01,5873.9785
8a1181b6084ffff,2021-08-01,5968.1
8a1181b60857fff,2021-08-01,5726.0024
8a1181b6085ffff,2021-08-01,5767.9907
8a1181b60867fff,2021-08-01,5559.44
8a1181b6086ffff,2021-08-01,5933.974
8a1181b60877fff,2021-08-01,5281.181
8a1181b60897fff,2021-02-01,5520.034
8a1181b60897fff,2021-02-01,5520.034
8a1181b6089ffff,2021-08-01,5705.878
8a1181b608b7fff,2021-08-01,5764.8994
8a1181b60907fff,2021-08-01,5572.854
8a1181b6090ffff,2021-08-01,5882.626
8a1181b60917fff,2021-08-01,5909.773
8a1181b6091ffff,2021-08-01,5451.1094
8a1181b6092ffff,2021-08-01,5925.3467
8a1181b60947fff,2021-08-01,6419.836
8a1181b6094ffff,2021-08-01,6129.541
8a1181b60957fff,2021-08-01,6264.1406
8a1181b6095ffff,2021-08-01,6018.745
8a1181b60967fff,2021-08-01,5705.3076
8a1181b6096ffff,2021-08-01,5807.432
8a1181b60977fff,2021-08-01,5677.8765
